Nested Sampling Global Log-Evidence           :   -0.140812970022785660E+02  +/-    0.500009051890771064E-01
Nested Importance Sampling Global Log-Evidence:   -0.122794071421365203E+02  +/-    0.247475260702085281E+00

Dim No.       Mean        Sigma
   1    0.108409137320939635E+03    0.856266106845605606E+02
   2    0.104425719114895050E-03    0.201082800172010306E-04
   3    0.202527549426104292E+01    0.148834769593850696E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.998318095507555512E+02
   2    0.998239856081362126E-04
   3    0.199947311552781115E+01

MAP Parameters
Dim No.        Parameter
   1    0.879364511568135754E+02
   2    0.925928852046311777E-04
   3    0.197483963206378710E+01
