# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 3.19119E+00 2.68672E+00 5.04469E-01
6.00000E+00 7.00000E+00 3.18129E+00 2.60352E+00 5.77770E-01
7.00000E+00 8.00000E+00 3.16846E+00 2.52251E+00 6.45948E-01
8.00000E+00 9.00000E+00 3.15286E+00 2.44365E+00 7.09215E-01
9.00000E+00 1.00000E+01 3.13468E+00 2.36690E+00 7.67781E-01
1.00000E+01 1.10000E+01 3.11408E+00 2.29223E+00 8.21850E-01
1.10000E+01 1.20000E+01 3.09122E+00 2.21960E+00 8.71619E-01
1.20000E+01 1.30000E+01 3.06625E+00 2.14897E+00 9.17281E-01
1.30000E+01 1.40000E+01 3.03932E+00 2.08030E+00 9.59020E-01
1.40000E+01 1.50000E+01 3.01056E+00 2.01354E+00 9.97020E-01
1.50000E+01 1.60000E+01 2.98014E+00 1.94868E+00 1.03146E+00
1.60000E+01 1.70000E+01 2.94816E+00 1.88566E+00 1.06250E+00
1.70000E+01 1.80000E+01 2.91476E+00 1.82444E+00 1.09032E+00
1.80000E+01 1.90000E+01 2.88006E+00 1.76498E+00 1.11507E+00
1.90000E+01 2.00000E+01 2.84417E+00 1.70725E+00 1.13691E+00
2.00000E+01 2.10000E+01 2.80720E+00 1.65121E+00 1.15599E+00
2.10000E+01 2.20000E+01 2.76925E+00 1.59681E+00 1.17244E+00
2.20000E+01 2.30000E+01 2.73044E+00 1.54402E+00 1.18642E+00
2.30000E+01 2.40000E+01 2.69086E+00 1.49281E+00 1.19805E+00
2.40000E+01 2.50000E+01 2.65060E+00 1.44313E+00 1.20747E+00
2.50000E+01 2.60000E+01 2.60973E+00 1.39494E+00 1.21480E+00
2.60000E+01 2.70000E+01 2.56836E+00 1.34821E+00 1.22015E+00
2.70000E+01 2.80000E+01 2.52657E+00 1.30291E+00 1.22365E+00
2.80000E+01 2.90000E+01 2.48441E+00 1.25900E+00 1.22541E+00
2.90000E+01 3.00000E+01 2.44196E+00 1.21643E+00 1.22553E+00
