# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 2.87232E+01 2.06309E+01 8.09235E+00
4.00000E+00 5.00000E+00 2.89249E+01 1.92258E+01 9.69915E+00
5.00000E+00 6.00000E+00 2.89547E+01 1.79095E+01 1.10452E+01
6.00000E+00 7.00000E+00 2.88336E+01 1.66769E+01 1.21567E+01
7.00000E+00 8.00000E+00 2.85806E+01 1.55230E+01 1.30576E+01
8.00000E+00 9.00000E+00 2.82133E+01 1.44432E+01 1.37701E+01
9.00000E+00 1.00000E+01 2.77476E+01 1.34331E+01 1.43144E+01
1.00000E+01 1.10000E+01 2.71977E+01 1.24886E+01 1.47091E+01
1.10000E+01 1.20000E+01 2.65768E+01 1.16056E+01 1.49713E+01
1.20000E+01 1.30000E+01 2.58968E+01 1.07805E+01 1.51164E+01
1.30000E+01 1.40000E+01 2.51683E+01 1.00097E+01 1.51586E+01
1.40000E+01 1.50000E+01 2.44008E+01 9.29002E+00 1.51108E+01
1.50000E+01 1.60000E+01 2.36031E+01 8.61826E+00 1.49849E+01
1.60000E+01 1.70000E+01 2.27828E+01 7.99144E+00 1.47914E+01
1.70000E+01 1.80000E+01 2.19467E+01 7.40679E+00 1.45400E+01
1.80000E+01 1.90000E+01 2.11011E+01 6.86170E+00 1.42394E+01
1.90000E+01 2.00000E+01 2.02514E+01 6.35368E+00 1.38977E+01
2.00000E+01 2.10000E+01 1.94023E+01 5.88039E+00 1.35219E+01
2.10000E+01 2.20000E+01 1.85579E+01 5.43964E+00 1.31183E+01
2.20000E+01 2.30000E+01 1.77221E+01 5.02934E+00 1.26927E+01
2.30000E+01 2.40000E+01 1.68978E+01 4.64756E+00 1.22503E+01
2.40000E+01 2.50000E+01 1.60879E+01 4.29246E+00 1.17955E+01
2.50000E+01 2.60000E+01 1.52947E+01 3.96231E+00 1.13324E+01
2.60000E+01 2.70000E+01 1.45201E+01 3.65550E+00 1.08646E+01
2.70000E+01 2.80000E+01 1.37658E+01 3.37049E+00 1.03953E+01
2.80000E+01 2.90000E+01 1.30331E+01 3.10586E+00 9.92722E+00
2.90000E+01 3.00000E+01 1.23230E+01 2.86026E+00 9.46275E+00
