# Eleft Eright counts c1_c1 c11_c11 
5.00000E+00 6.00000E+00 1.10527E+03 1.10526E+03 1.16782E-02
6.00000E+00 7.00000E+00 8.38166E+02 8.38155E+02 1.04721E-02
7.00000E+00 8.00000E+00 6.31924E+02 6.31915E+02 9.11371E-03
8.00000E+00 9.00000E+00 4.73919E+02 4.73912E+02 7.74877E-03
9.00000E+00 1.00000E+01 3.53700E+02 3.53693E+02 6.46516E-03
1.00000E+01 1.10000E+01 2.62786E+02 2.62781E+02 5.31012E-03
1.10000E+01 1.20000E+01 1.94409E+02 1.94404E+02 4.30330E-03
1.20000E+01 1.30000E+01 1.43234E+02 1.43231E+02 3.44674E-03
1.30000E+01 1.40000E+01 1.05105E+02 1.05102E+02 2.73189E-03
1.40000E+01 1.50000E+01 7.68125E+01 7.68104E+01 2.14463E-03
1.50000E+01 1.60000E+01 5.58974E+01 5.58957E+01 1.66846E-03
1.60000E+01 1.70000E+01 4.04898E+01 4.04885E+01 1.28664E-03
1.70000E+01 1.80000E+01 2.91763E+01 2.91753E+01 9.83383E-04
1.80000E+01 1.90000E+01 2.08941E+01 2.08934E+01 7.44515E-04
1.90000E+01 2.00000E+01 1.48485E+01 1.48480E+01 5.57715E-04
2.00000E+01 2.10000E+01 1.04475E+01 1.04471E+01 4.12543E-04
2.10000E+01 2.20000E+01 7.25191E+00 7.25161E+00 3.00329E-04
2.20000E+01 2.30000E+01 4.93757E+00 4.93735E+00 2.13989E-04
2.30000E+01 2.40000E+01 3.26564E+00 3.26549E+00 1.47809E-04
2.40000E+01 2.50000E+01 2.06083E+00 2.06074E+00 9.72327E-05
2.50000E+01 2.60000E+01 1.19492E+00 1.19486E+00 5.86602E-05
2.60000E+01 2.70000E+01 5.74323E-01 5.74294E-01 2.92747E-05
2.70000E+01 2.80000E+01 8.06604E-02 8.06562E-02 4.01908E-06
2.80000E+01 2.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.90000E+01 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
