# Eleft Eright counts c1_c1 c11_c11 
3.00000E+00 4.00000E+00 1.86354E+02 1.99278E+01 1.66426E+02
4.00000E+00 5.00000E+00 1.34039E+02 1.13941E+01 1.22645E+02
5.00000E+00 6.00000E+00 9.07950E+01 6.40483E+00 8.43901E+01
6.00000E+00 7.00000E+00 5.88308E+01 3.54665E+00 5.52841E+01
7.00000E+00 8.00000E+00 3.67943E+01 1.93668E+00 3.48576E+01
8.00000E+00 9.00000E+00 2.23227E+01 1.04270E+00 2.12800E+01
9.00000E+00 1.00000E+01 1.31578E+01 5.52463E-01 1.26054E+01
1.00000E+01 1.10000E+01 7.51624E+00 2.86639E-01 7.22960E+00
1.10000E+01 1.20000E+01 4.12223E+00 1.44024E-01 3.97820E+00
1.20000E+01 1.30000E+01 2.11875E+00 6.83262E-02 2.05042E+00
1.30000E+01 1.40000E+01 9.54941E-01 2.86240E-02 9.26317E-01
1.40000E+01 1.50000E+01 2.80913E-01 7.91590E-03 2.72997E-01
1.50000E+01 1.60000E+01 3.81293E-03 1.03937E-04 3.70899E-03
1.60000E+01 1.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.70000E+01 1.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.80000E+01 1.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
1.90000E+01 2.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.00000E+01 2.10000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.10000E+01 2.20000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.20000E+01 2.30000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.30000E+01 2.40000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.40000E+01 2.50000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.50000E+01 2.60000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.60000E+01 2.70000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.70000E+01 2.80000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.80000E+01 2.90000E+01 0.00000E+00 0.00000E+00 0.00000E+00
2.90000E+01 3.00000E+01 0.00000E+00 0.00000E+00 0.00000E+00
